city,state_id,state_name,country_name,population,zips
HAMLET,NC,NORTH CAROLINA,RICHMOND,6328,28345
COMSTOCK NORTHWEST,MI,MICHIGAN,KALAMAZOO,6318,49048
"ISLAMORADA, VILLAGE OF ISLANDS",FL,FLORIDA,MONROE,6317,33036 33070
MASCOTTE,FL,FLORIDA,LAKE,6315,34736 34753
PASS CHRISTIAN,MS,MISSISSIPPI,HARRISON,6307,39571
DELANO,MN,MINNESOTA,WRIGHT,6302,55328
WAVELAND,MS,MISSISSIPPI,HANCOCK,6302,39576 39520
LELY RESORT,FL,FLORIDA,COLLIER,6295,34113
BOILING SPRING LAKES,NC,NORTH CAROLINA,BRUNSWICK,6287,28461
PIGEON FORGE,TN,TENNESSEE,SEVIER,6266,37863 37868
HUNTINGTON WOODS,MI,MICHIGAN,OAKLAND,6265,48070
RICHMOND,MI,MICHIGAN,MACOMB,6262,48062
LAKE ALFRED,FL,FLORIDA,POLK,6257,33850
SNYDERVILLE,UT,UTAH,SUMMIT,6255,84098
HAMPSHIRE,IL,ILLINOIS,KANE,6251,60140
CORCORAN,MN,MINNESOTA,HENNEPIN,6250,55340 55374 55357
OCEAN CITY,FL,FLORIDA,OKALOOSA,6249,32547
ST. JAMES,NC,NORTH CAROLINA,BRUNSWICK,6248,28461
BUENA VISTA,MI,MICHIGAN,SAGINAW,6234,48601
SOUTH GATE RIDGE,FL,FLORIDA,SARASOTA,6232,34231 34233
NEWBERRY,FL,FLORIDA,ALACHUA,6231,32669
FRUIT HEIGHTS,UT,UTAH,DAVIS,6221,84037
PEA RIDGE,AR,ARKANSAS,BENTON,6211,72751
HIGH SPRINGS,FL,FLORIDA,ALACHUA,6178,32643 32655
PONTOTOC,MS,MISSISSIPPI,PONTOTOC,6169,38863
HENRYETTA,OK,OKLAHOMA,OKMULGEE,6162,74437
PELICAN BAY,FL,FLORIDA,COLLIER,6140,34108
TEQUESTA,FL,FLORIDA,PALM BEACH,6138,33469
